视频标题,视频标签,作者名称,昵称,地区,日期,评论
实际明明用不到，计算机专业为何还要学这些知识,#计算机#计算机小白#转码#计算机学习,不可思议大王,吃个烧麦,山东,2026-02-08 11:59:36,计算机就是 越学越多 越学越觉得自己渺小 而且更新换代太快了
实际明明用不到，计算机专业为何还要学这些知识,#计算机#计算机小白#转码#计算机学习,不可思议大王,Endotherm.,山西,2026-02-28 14:09:53,我学的网安，一直在网上找课看[流泪]
实际明明用不到，计算机专业为何还要学这些知识,#计算机#计算机小白#转码#计算机学习,不可思议大王,Liquid,四川,2026-02-10 13:22:40,过来人负责的告诉每一个计科学生，多会理论不如多敲代码，抽象概念最快理解是具象成代码到你的程序当中，培养兴趣爱好永远不可能是书本上的白纸黑字，从实践中收获成就感，才能体验语言的魅力。
实际明明用不到，计算机专业为何还要学这些知识,#计算机#计算机小白#转码#计算机学习,不可思议大王,老年人养生俱乐部,浙江,2026-02-08 01:26:17,讲的很通俗易懂。但是数据结构和算法那块感觉讲的有点问题，这两个应该是耦合在一起，不是非此即彼的关系。视频里讲的反而更像是说降低时间和空间复杂度了。
实际明明用不到，计算机专业为何还要学这些知识,#计算机#计算机小白#转码#计算机学习,不可思议大王,双枪小师,贵州,2026-02-10 04:12:43,学不懂，我要是能学懂学精也不会来普本了[躺平][躺平][躺平]，已毕业已转行
实际明明用不到，计算机专业为何还要学这些知识,#计算机#计算机小白#转码#计算机学习,不可思议大王,Coolcat,北京,2026-02-10 00:17:06,真的，学差不多就行了，不然根本没完。我是java的，现在想想之前死磕lambda表达式、jdbc、javaweb一些知识的时候真是浪费时间，甚至最开始的类型强制转换我都纠结了好久。尤其现在ai特别厉害，有啥不会的现学就行，突出一个差不多得了
实际明明用不到，计算机专业为何还要学这些知识,#计算机#计算机小白#转码#计算机学习,不可思议大王,KK睡醒了,黑龙江,2026-02-08 22:31:14,@豆包 总结这个视频内容
实际明明用不到，计算机专业为何还要学这些知识,#计算机#计算机小白#转码#计算机学习,不可思议大王,鑫源。,湖南,2026-03-03 12:56:30,@豆包 提取内容生成文字
实际明明用不到，计算机专业为何还要学这些知识,#计算机#计算机小白#转码#计算机学习,不可思议大王,渊舟绿,江西,2026-02-25 20:37:13,@豆包 总结一下这个视频
实际明明用不到，计算机专业为何还要学这些知识,#计算机#计算机小白#转码#计算机学习,不可思议大王,早睡打卡,湖北,2026-02-28 00:33:56,计算机学完基础知识之后，按项目学习最实用[黄脸干杯]
