视频标题,视频标签,作者名称,昵称,地区,日期,评论
第74集 | 岳飞《满江红》：怒发冲冠，凭栏处、潇潇雨歇。抬望眼，仰天长啸，壮怀激烈。三十功名尘与土，八千里路云和月。莫等闲，白了少年头，空悲切！靖康耻，犹未雪。臣子恨，何时灭！驾长车，踏破贺兰山缺。壮志饥餐胡虏肉，笑谈渴饮匈奴血。待从头、收拾旧山河，朝天阙。,,潘潘在写字,不再是我,安徽,2026-02-08 08:13:32,这是什么字体，挺好看
第74集 | 岳飞《满江红》：怒发冲冠，凭栏处、潇潇雨歇。抬望眼，仰天长啸，壮怀激烈。三十功名尘与土，八千里路云和月。莫等闲，白了少年头，空悲切！靖康耻，犹未雪。臣子恨，何时灭！驾长车，踏破贺兰山缺。壮志饥餐胡虏肉，笑谈渴饮匈奴血。待从头、收拾旧山河，朝天阙。,,潘潘在写字,silence,山东,2026-02-08 02:09:13,壮写错了
第74集 | 岳飞《满江红》：怒发冲冠，凭栏处、潇潇雨歇。抬望眼，仰天长啸，壮怀激烈。三十功名尘与土，八千里路云和月。莫等闲，白了少年头，空悲切！靖康耻，犹未雪。臣子恨，何时灭！驾长车，踏破贺兰山缺。壮志饥餐胡虏肉，笑谈渴饮匈奴血。待从头、收拾旧山河，朝天阙。,,潘潘在写字,ythyyx,湖南,2026-02-05 19:05:25,写得太好看了[色]
第74集 | 岳飞《满江红》：怒发冲冠，凭栏处、潇潇雨歇。抬望眼，仰天长啸，壮怀激烈。三十功名尘与土，八千里路云和月。莫等闲，白了少年头，空悲切！靖康耻，犹未雪。臣子恨，何时灭！驾长车，踏破贺兰山缺。壮志饥餐胡虏肉，笑谈渴饮匈奴血。待从头、收拾旧山河，朝天阙。,,潘潘在写字,许斌,安徽,2026-02-07 11:01:11,那不懂风苑普通老百姓普通农民，不像你们懂这些分院历代历朝哪位疯院人物真正的安国定邦治国平天下脚踏实地观檀枫苑则是国志废话关谈空谈空想，接着国之惨兮兮餐饮产业误国误民产业餐饮这个脚踏实地的底层人士老百姓是农民，而是这些岗位工人治国天下的也是一些五福的福字，这个是五副都是老百姓，不像你们，我不懂文采那个风苑事实摆的面前呢风流雅士误国误民误嫁五国之加起误国误民不脚踏实地去干
第74集 | 岳飞《满江红》：怒发冲冠，凭栏处、潇潇雨歇。抬望眼，仰天长啸，壮怀激烈。三十功名尘与土，八千里路云和月。莫等闲，白了少年头，空悲切！靖康耻，犹未雪。臣子恨，何时灭！驾长车，踏破贺兰山缺。壮志饥餐胡虏肉，笑谈渴饮匈奴血。待从头、收拾旧山河，朝天阙。,,潘潘在写字,小面,山西,2026-02-07 22:47:34,笔意连贯，写的真不错，继续加油[鼓掌][鼓掌][鼓掌]
第74集 | 岳飞《满江红》：怒发冲冠，凭栏处、潇潇雨歇。抬望眼，仰天长啸，壮怀激烈。三十功名尘与土，八千里路云和月。莫等闲，白了少年头，空悲切！靖康耻，犹未雪。臣子恨，何时灭！驾长车，踏破贺兰山缺。壮志饥餐胡虏肉，笑谈渴饮匈奴血。待从头、收拾旧山河，朝天阙。,,潘潘在写字,不要再說世界只有黑白兩色的傻話了,云南,2026-02-05 18:40:03,求毛笔链接！！[抱紧自己][抱紧自己][抱紧自己]
第74集 | 岳飞《满江红》：怒发冲冠，凭栏处、潇潇雨歇。抬望眼，仰天长啸，壮怀激烈。三十功名尘与土，八千里路云和月。莫等闲，白了少年头，空悲切！靖康耻，犹未雪。臣子恨，何时灭！驾长车，踏破贺兰山缺。壮志饥餐胡虏肉，笑谈渴饮匈奴血。待从头、收拾旧山河，朝天阙。,,潘潘在写字,AAA山茶油自产自销,浙江,2026-02-07 15:59:59,全军背诵[尬笑]
第74集 | 岳飞《满江红》：怒发冲冠，凭栏处、潇潇雨歇。抬望眼，仰天长啸，壮怀激烈。三十功名尘与土，八千里路云和月。莫等闲，白了少年头，空悲切！靖康耻，犹未雪。臣子恨，何时灭！驾长车，踏破贺兰山缺。壮志饥餐胡虏肉，笑谈渴饮匈奴血。待从头、收拾旧山河，朝天阙。,,潘潘在写字,👌！,海南,2026-02-07 19:31:46,字 漂亮
第74集 | 岳飞《满江红》：怒发冲冠，凭栏处、潇潇雨歇。抬望眼，仰天长啸，壮怀激烈。三十功名尘与土，八千里路云和月。莫等闲，白了少年头，空悲切！靖康耻，犹未雪。臣子恨，何时灭！驾长车，踏破贺兰山缺。壮志饥餐胡虏肉，笑谈渴饮匈奴血。待从头、收拾旧山河，朝天阙。,,潘潘在写字,大海,四川,2026-02-07 13:57:20,什么笔
第74集 | 岳飞《满江红》：怒发冲冠，凭栏处、潇潇雨歇。抬望眼，仰天长啸，壮怀激烈。三十功名尘与土，八千里路云和月。莫等闲，白了少年头，空悲切！靖康耻，犹未雪。臣子恨，何时灭！驾长车，踏破贺兰山缺。壮志饥餐胡虏肉，笑谈渴饮匈奴血。待从头、收拾旧山河，朝天阙。,,潘潘在写字,🍒蟹嘿嘿,河北,2026-02-06 08:10:36,请问除了灵飞经还能临哪些帖呀
