视频标题,视频标签,作者名称,昵称,地区,日期,评论
脑子跟嘴巴的博弈，最后胃糟了罪,#女巫的毒药#最佳损友#搞笑#数十挑战,不惑兄弟,月黑,浙江,2026-03-12 13:35:26,"1/12=0.0833333
0.083333/11=0.0075757
前两次连续开出炸鸡概率是0.76%"
脑子跟嘴巴的博弈，最后胃糟了罪,#女巫的毒药#最佳损友#搞笑#数十挑战,不惑兄弟,雅0,福建,2026-03-12 13:14:07,催更的都理解一下呗，他们昨天晚上至少剪辑视频到三四点才回去，今天还有两场直播，根本就休息，吃的还都是这些乱七八糟的东西，搁任何一个人身上都咽不下去吧，这样的强度一周有两更真的很不容易了，不要总是去直播间催更啦，很担心他们的身体超负荷了。
脑子跟嘴巴的博弈，最后胃糟了罪,#女巫的毒药#最佳损友#搞笑#数十挑战,不惑兄弟,凌晨一点的小小猫,山东,2026-03-12 13:23:06,"祖红就是最后一个错了，不然今天真的是好运红，开局就选了一个炸鸡，又给香蕉仔选了一个炸鸡。光头吃了4份难吃食物
帽子吃了3份难吃食物
香蕉仔吃了2份难吃食物+1块炸鸡
祖红吃了1份难吃食物+1块炸鸡"
脑子跟嘴巴的博弈，最后胃糟了罪,#女巫的毒药#最佳损友#搞笑#数十挑战,不惑兄弟,断点,广西,2026-03-12 13:16:56,这赛道除非吃💩能打得过了[尬笑]刷到好几个博主都没他们四个狠还不吐[尬笑]
脑子跟嘴巴的博弈，最后胃糟了罪,#女巫的毒药#最佳损友#搞笑#数十挑战,不惑兄弟,*菠萝没有肉,浙江,2026-03-12 13:11:17,别整这么狠了 真整出事了我们以后还看什么[酷拽]
脑子跟嘴巴的博弈，最后胃糟了罪,#女巫的毒药#最佳损友#搞笑#数十挑战,不惑兄弟,₊⁺☁₊皮球,广东,2026-03-12 16:21:58,每次听祖蓝说规则都听不明白，玩一下就知道了[捂脸]
脑子跟嘴巴的博弈，最后胃糟了罪,#女巫的毒药#最佳损友#搞笑#数十挑战,不惑兄弟,🌈如颖随行,江苏,2026-03-12 13:20:35,"祖红就是最后一个错了，不然今天真的是好运红，开局就选了一个炸鸡，又给香蕉仔选了一个炸鸡。光头吃了4份难吃食物
帽子吃了3份难吃食物
香蕉仔吃了2份难吃食物+1块炸鸡
祖红吃了1份难吃食物+1块炸鸡"
脑子跟嘴巴的博弈，最后胃糟了罪,#女巫的毒药#最佳损友#搞笑#数十挑战,不惑兄弟,錵開や落幕┓,江西,2026-03-12 13:04:10,最牛逼的是不管多难吃基本上都不吐
脑子跟嘴巴的博弈，最后胃糟了罪,#女巫的毒药#最佳损友#搞笑#数十挑战,不惑兄弟,把胖团捧在手心里,河北,2026-03-12 13:58:22,光头研究研究，两样好吃的放一起变成难吃的[捂脸]
脑子跟嘴巴的博弈，最后胃糟了罪,#女巫的毒药#最佳损友#搞笑#数十挑战,不惑兄弟,暖晞麻麻,河南,2026-03-12 14:49:35,我就想知道这个损招儿当初是你们四个谁想出来的，真是损塞呀！！！！这么不放过自己[点火][点火][点火]
脑子跟嘴巴的博弈，最后胃糟了罪,#女巫的毒药#最佳损友#搞笑#数十挑战,不惑兄弟,个儿矮是因为美貌压的🤔,陕西,2026-03-12 15:12:55,还以为祖红今天会全身而退呢[笑哭]结果最后自己扎了自己一刀[笑哭]
脑子跟嘴巴的博弈，最后胃糟了罪,#女巫的毒药#最佳损友#搞笑#数十挑战,不惑兄弟,悠悠.,四川,2026-03-12 14:12:07,毒药他们都没有呕吐镜头，不像…，吃一口普通食材要吐上半个进度条
脑子跟嘴巴的博弈，最后胃糟了罪,#女巫的毒药#最佳损友#搞笑#数十挑战,不惑兄弟,🌈胡德禄🌈,天津,2026-03-12 13:42:07,可以试试 把数字改成三位数，这个数要在中间，假设是 5，那就改成 456 或 567，后面的人听到尾号的 6 或 7 ，可能下意识的回 7 8
脑子跟嘴巴的博弈，最后胃糟了罪,#女巫的毒药#最佳损友#搞笑#数十挑战,不惑兄弟,东热53,广东,2026-03-12 14:11:16,试图不看屏幕，参与游戏，脑子不行[捂脸] 他们太强了
脑子跟嘴巴的博弈，最后胃糟了罪,#女巫的毒药#最佳损友#搞笑#数十挑战,不惑兄弟,🌈为中而生🌈,广东,2026-03-12 14:00:13,不惑兄弟牛逼[赞][赞][赞]吃这些食物居然没有一丝反胃的表情！你们值得成功！你们辛苦了[赞][赞][赞]
